comment,n_star,date_time,label,positive_count,neutral_count,negative_count
pin kém còn miễn chê mua 832019 tình trạng pin còn 88 ai giống tôi,5,14/09/2019,Neutral,1,0,1
sao gọi điện thoại màn hình chấm nhỏ nháy gần camera vậylúc,3,17/08/2020,Negative,0,0,1
mọi người cập nhật phần mềm nó bớt tốn pin mình thử mọi thứ ổn vân tay không nhạy,3,29/02/2020,Neutral,0,2,1
mới mua sài 1 tháng thấy pin trâu sài bao mượt 1 lỗi nhỏ mình nghe nhạc bằng tai nghe hơi lâu không biết sao nó không nghe mất rút tai nghe cắm nó mới nghe,5,4/6/2020,Positive,2,0,1
xài tốt mượt pin trâu bạn độ sáng đủ nhân viên nhiệt tình vui vẻ nói chung tầm giá máy quá tốt,5,20/06/2019,Positive,3,2,0
hôm ngày 2362020 em thế giới di động mua dthoai galaxy a51 đầu bên cửa hàng báo giá 779000đ tặng phiếu mua hàng 250k thanh toán nhân viên thanh toán 7990000đ phiếu mua hàng đi 20km xuống mua thoai tối về đến nhà nhân viên mới gọi đến xin lỗi sai xót bảo mình xuống nhận phiếu mua hàng 250k chán quá đúng làm mất thời gian,2,23/06/2020,Negative,0,0,1
sao điện thoại mới sạc nó nóng máy quá trời tôi tắt tất cả mạng ứng dung game cấm không chạy nền không sạc dùng điện thoại nóng quá trời sạc 3 tiếng mới đầy,2,23/12/2019,Negative,0,0,1
đầu định mua samsung shop nhân viên tư vấn oppo a9 thất vọng thực dùng oppo màn hình hiển thị tối om máy chơi game giật lang khó chịu vãi sạc lâu không bao giờ dungg oppo,1,31/05/2020,Negative,0,0,4
mọi thứ ngon trong tầm giá lần đầu xài xiaomi cảm thấy hài lòng về chất lượng,5,30/05/2020,Positive,2,1,0
đi thoại mượt chơi game ngon âm báo thức bật maxloa luôn nghe nhỏ nhân viên phục vụ nhiệt tình,4,7/6/2019,Positive,2,0,1
máy tốt trong tầm giá pin trâu màn hình đẹp to camera đẹp chơi tựa game ở cấu hình ổn cảm biến vân tay quang học trong màn hình hơi chậm không hỗ trợ chụp đêm chụp trong đêm hơi xấu còn nhân viên phục vụ nhiệt tình chu đáo,5,16/07/2020,Positive,5,2,1
sản phẩm quá tuyệt vời iphone 7plus camera đẹp chơi game sợ 1 game nào nặng cả mượt game nào đồ họa cao chơi sụt pin nhanh máy nóng sao iphone 7 plus tuyệt vời lắm,5,18/04/2018,Positive,2,1,1
dùng ổn mượt không nóng đt 5 6 triệu mở max cấu hình ròi kêu nóng nhân viên nhiệt tình,5,7/12/2019,Positive,3,0,0
mới mua 1 ngày ck dùng j6 còn mình dùng con wifi ck mình nào 3 vạch điện thoại 2 vạch 1 vạch đứng luôn không hieur sao dùng thấy bực mình,3,18/11/2019,Negative,0,0,1
lỗi phầm mềm sạc pin không đem bảo trì cài máy _ không hết lỗi mua quả máy 4 triệu100k ram 3gb về chơi pubg lag vãi chưởng,1,17/03/2020,Negative,0,1,2
máy dùng tốt tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy tới 2 triệu ưng ghê luôn á mọi người mua,5,30/03/2020,Positive,3,1,0
sạc pin 100 rồi không 10h không hao nào sao mọi người kêu hao pin nhanh sao nhỉ mình thasy pin trâu lun,5,1/7/2020,Positive,1,0,0
mình hỏi tắt quảng cáo điện thoại ạ mới mua về vài hôm nó tụ phát quảng cáo hoài ngày mình khoá màn hình chạy quảng cáo mong phản hồi,5,5/1/2020,Negative,0,0,1
tất cả mọi thứ ổn hết màn hình đẹp máy chạy êm pin sạc nhanh màu mặt lưng đẹp tiết ở phần thiết kế chi loa ngoài đặt ở bên hông thay đặt ở cạnh tay đè loa sử dụng í lo chính bản thân đè quá làm loa hư thêm 1 nhỏ xíu xiu mới mua hôm giảm 500000đ nay xem tuột xuống đươc giảm hẳn 1000000đ tức ghê,4,17/01/2020,Positive,4,1,1
điện thoại thiết kế sang trọng cameraa chụp ảnh tốt pin dùng ổn định máy dùng mượt đơ,5,19/08/2018,Positive,4,0,0
máy màn hình lớn nhận diện khuôn mặt nhanh trong đk trời sáng cấu hình tạm ổn tác vụ cơ bản pin trâu nhân viên tgdd nhiệt tình còn ctkm tặng tai nghe tgdd làm tốt mua máy chi nhánh tai nghe khg hàng đợi 1015 ngày tgdd rút kinh nghiệm về ctkm kiểu,5,4/3/2019,Positive,3,2,0
mua tương xứng trong phân khúc chụp ảnh kém mờ pin trâu,1,15/03/2020,Negative,1,1,2
cập nhật ổn camera xấu tệ hy vọng cập nhật camera tốt hơn bản,3,14/06/2019,Neutral,1,0,1
mới dùng đc tầm nửa tháng thấy khá ổn mượt chơi game mức độ mặc định ổn pin đc lâu sạc nhanh,5,18/02/2020,Positive,3,0,0
mình mua máy samsung a20s 4 ngày nói chung máy xài ổn trong tầm giá pin trâu chơi game xài 2 đến 3 ngày còn chơi game liên quân tầm 1 ngày chụp hình đẹp máy mượt lâu cảm biến vân tay nhạy ngón tay hơi ướt xíu máy nhận vân tay luôn ốp lưng xài hơi xót xíu mình làm trong môi trường chăn nuôi bụi cám kia,5,24/10/2019,Positive,4,1,2
sao thoảng tôi mở máy đợi 510s màn hình mới nó làm tôi thấy khó chịu còn ổn,4,7/5/2020,Neutral,1,0,1
iphone luôn ổn định thiết kế mới lỗi thời mình cầm con iphone nào mình nghĩ pin nó đủ xài trong ngày bạn nào bảo pin nó yếu một ngày xài quá thôi thích iphone lâu tội tài chính eo hẹp tich góp cuối năm rước một em zìa quê luôn,5,28/05/2017,Positive,2,2,0
mua đag dùng thất vọng camera mờ hay nổi quảng cáopin xuống rraats nhanh khuyên mọi người đừng mua,1,22/02/2020,Negative,0,0,4
lỗi lưu ảnh viền 4 góc sáng khá bực mong xiaomi việt nam sớm cách khắc phục,1,19/04/2020,Negative,0,1,2
tôi nghĩ nó 4 star 12 triệu tầm giá rẻ rách đường truyền chập chờn nó tôi đánh giá 5 star,4,25/12/2019,Neutral,1,0,1
máy dùng ổn cài khóa mình vân tay khuôn mặt mở không vuốt mở đc còn ổn bluetooth bình thường pin lâu nhạc hay,4,23/01/2020,Positive,2,1,0
máy chơi game khá mượtpin trâu mọi vấn đề ổn sản phẩm trong tầm giá quá tuyệt vời,5,19/06/2020,Positive,3,1,0
điện thoại đẹp màn hình rõ nghe gọi ổn chụp hình đẹp giá tầm quá ổn nhân viên tgdd thoại sơn an giang cực kỳ dễ thương luôn,5,25/01/2020,Positive,6,0,0
xài ổn máy mượt chụp ảnh đẹp sạc nhanh sao bạn chê tào lao quá pin 4k xài 1 ngày tốt,5,21/12/2019,Positive,4,0,0
s20 ultra mức giá bằng oppo find x2 mua find x2 oppo hơn hẳn con ultra về cấu hình màn hình pin tốc độ sạc ultra hơn về chụp ảnh thôi còn oppo find x2 max mượt max phê,4,10/6/2020,Negative,1,0,4
máy mới mua về xài 10 bựa tự tiện đo treo logo 10p mới khỏi ding tính năng chụp màn hình nứt nguồn giảm âm lượng chụp,1,22/01/2020,Negative,0,0,2
1 tuần sử dụng mình đánh giá về camera thấy bình thường cam truớc tốt lắm cấu hình bằng con vsmart 5 triệu máy đẹp nhẹ mỏng pin tạm ngày sạc pin 1 lần bạn nào mua màn đẹp với camera mua còn mua chơi game không lựa,4,1/4/2020,Positive,2,2,1
sản phẩm tai nghe hả bạn mình mua bên tgdd noi là không tai nghe đúng không ạ,1,29/02/2020,Negative,0,0,0
sản phẩm đẹp tuyệt vời xin chào vọng trong qtrinh sử dụng không xảy lỗi nhân viên nhiệt tình mới,5,16/09/2019,Positive,2,0,0
mua lâu vân tay quá kém dí mãi mới mở đc chơi game ví dụ liên quân cảm ứng không nhạy kém máy nóng thỉnh thoảng đơ 1 tý không mạng hay fpslúc chơi loa ngoài chơi game khá nhỏ bạn nào hay chô game chọn con khác con sang chảnh đc,1,7/10/2019,Negative,1,0,2
máy okmượtchơi game quá đỉnhcó pin hơi tụt okvừa với túi tiền ổn,5,17/04/2019,Positive,2,1,1
note10 bin tệ máy không xài tuột phần trăm sạt đầy 100 pin không xài ság tới tối về nhìn còn 40 60 pin kia không làm dì sao mất nhỉ máy mua điều kiện 1 tuần pin tệ,1,1/9/2019,Negative,0,0,1
mình mua dùng chơi game khỏi nói còn về xem phim youtube bật sử dụng mờ điện thoại khác bật sử dụng,5,23/12/2019,Neutral,1,0,1
máy xịn thứ nhất chơi game mượt chíp snap thứ hai pin trâu xài cả ngày còn 50 thư ba màn hình đẹp chụp hình sáng,5,31/01/2020,Positive,5,0,0
mình mới mua hồi chiều minh vô cài đặt tìm ram thấy mình hỏi ram nó nằm ở đâu,5,14/08/2020,Negative,0,0,0
