comment,n_star,date_time,label,positive_count,neutral_count,negative_count
pin kém còn miễn chê mua 8 3 2019 tình_trạng pin còn 88 ai giống tôi,5,14/09/2019,Neutral,1,0,1
sao gọi điện_thoại màn_hình chấm nhỏ nháy gần camera trước_vậy,3,17/08/2020,Negative,0,0,1
mọi người cập_nhật phần_mềm nó bớt tốn pin mình thử mọi thứ ổn vân tay không nhạy,3,29/02/2020,Neutral,0,2,1
mới mua sài 1 tháng thấy pin trâu sài bao mượt 1 lỗi nhỏ mình nghe nhạc bằng tai_nghe nghe hơi lâu không biết sao nó không nghe mất rút tai_nghe_ra cắm nó mới nghe,5,4/6/2020,Positive,2,0,1
xài tốt mượt pin trâu bạn độ sáng đủ nhân_viên nhiệt_tình vui_vẻ nói_chung tầm giá máy quá tốt,5,20/06/2019,Positive,3,2,0
hôm_qua ngày 23 6 2020 em thế_giới di_động mua dthoai galaxy a51 đầu bên cửa_hàng báo_giá 779000 đ tặng phiếu mua hàng 250k thanh_toán nhân_viên thanh_toán 7990000 đ phiếu mua hàng đi 20km xuống mua thoai tối về đến nhà nhân_viên mới gọi đến xin_lỗi sai xót bảo mình xuống nhận phiếu mua hàng 250k chán quá đúng làm mất thời_gian,2,23/06/2020,Negative,0,0,1
tại_sao điện_thoại mới sạc nó nóng máy quá trời tôi tắt tất_cả mạng ứng dung game cấm không chạy nền không sạc dùng điện_thoại nóng quá trời sạc 3 tiếng mới đầy,2,23/12/2019,Negative,0,0,1
đầu định mua samsung shop nhân_viên tư_vấn oppo a9 thất_vọng thực_sự dùng oppo màn_hình hiển_thị tối_om máy chơi game giật lang khó_chịu vãi sạc lâu không bao_giờ dungg oppo,1,31/05/2020,Negative,0,0,4
mọi thứ ngon trong tầm giá lần đầu xài xiaomi cảm_thấy hài_lòng về chất_lượng,5,30/05/2020,Positive,2,1,0
đi thoại mượt chơi game ngon âm báo_thức bật maxloa luôn nghe nhỏ nhân_viên phục_vụ nhiệt_tình,4,7/6/2019,Positive,2,0,1
máy tốt trong tầm giá pin trâu màn_hình đẹp to camera đẹp chơi tựa game ở cấu_hình ổn cảm_biến vân tay quang_học trong màn_hình hơi chậm không hỗ_trợ chụp đêm chụp trong đêm hơi xấu còn nhân viên phục_vụ nhiệt_tình chu_đáo,5,16/07/2020,Positive,5,2,1
